idx	outcome	cause	test	rc	dur_s	sub_passed	sub_failed	metric	reason
114	PASS	ok	manifolds::quality_vs_mgcv_solar_zenith_cylinder::gam_solar_zenith_cylinder_predicts_heldout_and_closes_seam	0	1	1	0	edf=44.512 edf=41.107 R2=0.9996 rmse=0.4686 rmse=0.6325 seam_gap=0.000e0 	
115	PASS	ok	manifolds::quality_vs_mgcv_sphere_rotation_equivariance_s2::gam_sphere_smooth_is_rotation_equivariant_and_recovers_truth	0	1	1	0	edf_orig=22.693 edf_rot=22.693 rmse=0.3234 rmse=0.3258 edf=22.537 pearson=0.96473 	
116	PASS	ok	manifolds::quality_vs_mgcv_sphere_rotation_equivariance_s2::gam_sphere_smooth_is_rotation_equivariant_and_recovers_truth_on_real_data	0	1	1	0	edf=18.337 edf=21.971 R2=0.7545 rmse=3.6804 rmse=3.6304 edf_orig=18.337 edf_rot=18.337 	
117	METRIC_OFF	quality_metric	manifolds::quality_vs_mgcv_sphere_s2_wahba_vs_sos::gam_sphere_matches_mgcv_sos_on_geographic_surface	101	1	0	1	rmse=2.1806 rmse=1.5456 rmse/range=0.4429 edf=6.233 edf=16.255 edf_rel=0.617 rel_l2_to_mgcv=0.9224 pearson_to_mgcv=0.97238 seam_rel=0.0003 	thread 'manifolds::quality_vs_mgcv_sphere_s2_wahba_vs_sos::gam_sphere_matches_mgcv_sos_on_geographic_surface' (49073) panicked at tests/quality/manifolds/quality_vs_mgcv_sphere_s2_wahba_vs_sos.rs:343:5: :: gam sphere surface fails to recover the known S² field in line with the mature spline-on-sphere: RMSE=2.1806 is 0.4429 of range vs mgcv 0.3139 (+0.03 slack), signal range 4.9233
118	PASS	ok	manifolds::quality_vs_scipy_sphere_geodesic_consistency::gam_sphere_smooth_recovers_geodesic_truth_at_least_as_well_as_mgcv_sos	0	2	1	0	edf=23.996 edf=19.588 seam_rel=0.0065 	
119	PASS	ok	misc::additive_models_quality_batch_f::cycle_71_smooth_plus_periodic	0	0	1	0		
120	PASS	ok	misc::additive_models_quality_batch_f::cycle_72_smooth_plus_sphere	0	0	1	0		
121	PASS	ok	misc::additive_models_quality_batch_f::cycle_73_bc_clamped_plus_sphere_harmonic	0	0	1	0		
122	PASS	ok	misc::additive_models_quality_batch_f::cycle_74_three_smooth_terms	0	0	1	0		
123	PASS	ok	misc::bc_quality_batch_b::cycle_55_bc_clamped_tiny_n	0	0	1	0		
124	PASS	ok	misc::bc_quality_batch_b::cycle_56_bc_anchored_bimodal_truth	0	0	1	0		
125	PASS	ok	misc::bc_quality_batch_b::cycle_57_bc_clamped_nonzero_endpoint_slope	0	0	1	0		
126	PASS	ok	misc::bc_quality_batch_b::cycle_58_bc_mixed_left_clamped_right_anchored	0	0	1	0		
127	PASS	ok	misc::broad_sweep_batch_h::bc_anchored_pins_predictions_at_data_extremes	0	0	1	0		
128	PASS	ok	misc::broad_sweep_batch_h::bc_anchored_with_data_far_from_zero	0	0	1	0		
129	PASS	ok	misc::broad_sweep_batch_h::bc_clamped_with_constant_truth_stays_flat	0	0	1	0		
130	PASS	ok	misc::broad_sweep_batch_h::matern_low_n_does_not_crash	0	0	1	0		
131	PASS	ok	misc::broad_sweep_batch_h::periodic_1d_high_amplitude_sin	0	0	1	0		
132	PASS	ok	misc::broad_sweep_batch_h::periodic_handles_negative_origin	0	0	1	0		
133	PASS	ok	misc::broad_sweep_batch_h::periodic_with_only_few_points	0	0	1	0		
134	PASS	ok	misc::broad_sweep_batch_h::smooth_recovers_step_continuously	0	0	1	0		
135	PASS	ok	misc::broad_sweep_batch_h::sphere_extrapolation_far_from_data_bounded	0	0	1	0		
136	PASS	ok	misc::broad_sweep_batch_h::sphere_predict_north_pole_with_random_lon	0	0	1	0		
137	PASS	ok	misc::broad_sweep_batch_h::sphere_predict_zero_lat_lon_finite	0	0	1	0		
138	PASS	ok	misc::broad_sweep_batch_h::tensor_2d_smooth_truth_recovery	0	0	1	0		
139	PASS	ok	misc::broad_sweep_batch_i::bc_clamped_at_high_k_smooths_correctly	0	1	1	0		
140	PASS	ok	misc::broad_sweep_batch_i::cylinder_clean_seam_with_negative_h	0	0	1	0		
141	PASS	ok	misc::broad_sweep_batch_i::periodic_1d_zero_amplitude_truth	0	0	1	0		
142	PASS	ok	misc::broad_sweep_batch_i::periodic_with_offset_data_range	0	0	1	0		
143	PASS	ok	misc::broad_sweep_batch_i::sphere_handles_lat_at_minus_90	0	0	1	0		
144	PASS	ok	misc::broad_sweep_batch_i::sphere_logit_predict_finite_at_pole	0	1	1	0		
145	GAM_ERROR	gam_fit_failed	misc::broad_sweep_batch_i::sphere_pseudo_with_small_n	101	0	0	1		thread 'misc::broad_sweep_batch_i::sphere_pseudo_with_small_n' (50153) panicked at tests/quality/misc/broad_sweep_batch_i.rs:296:29: :: fit failed: IntegrationFailed { reason: 'deterministic Gaussian boundary tangent precision is not positive definite: Cholesky factorization failed: NonPositivePivot { index: 22 } (free_dim=81, n=20, p=81; free_dim > n means Z. X.WX Z is rank-deficient by construct
146	PASS	ok	misc::broad_sweep_batch_i::sphere_rejects_constant_lon_column	0	0	1	0		
147	PASS	ok	misc::broad_sweep_batch_i::sphere_sobolev_with_small_n	0	0	1	0		
148	PASS	ok	misc::broad_sweep_batch_i::sphere_with_method_alias_sos	0	0	1	0		
149	PASS	ok	misc::broad_sweep_batch_i::te_periodic_data_outside_period_works	0	0	1	0		
150	PASS	ok	misc::broad_sweep_batch_i::te_single_period_broadcasts_to_periodic_axis	0	0	1	0		
151	PASS	ok	misc::feature_correctness_sweep::bc_bspline_all_endpoint_combinations_build	0	0	1	0		
152	PASS	ok	misc::feature_correctness_sweep::bc_bspline_anchored_at_left_vanishes_at_x_zero	0	0	1	0		
153	PASS	ok	misc::feature_correctness_sweep::bc_bspline_clamped_at_right_has_zero_derivative_at_x_one	0	0	1	0		
154	PASS	ok	misc::feature_correctness_sweep::bc_bspline_columns_drop_by_constraint_count	0	0	1	0		
155	PASS	ok	misc::feature_correctness_sweep::bc_bspline_realizes_nonzero_anchor_as_affine_lift	0	0	1	0		
156	PASS	ok	misc::feature_correctness_sweep::both_sphere_methods_give_rotation_invariant_smoothers	0	0	1	0		
157	PASS	ok	misc::feature_correctness_sweep::cyclic_derivative_penalty_constant_in_nullspace_across_orders_and_k	0	0	1	0		
158	PASS	ok	misc::feature_correctness_sweep::periodic_bspline_derivative_preserves_analytic_periodic_invariants	0	0	1	0		
159	PASS	ok	misc::feature_correctness_sweep::periodic_bspline_evaluates_seam_exactly	0	0	1	0		
160	PASS	ok	misc::feature_correctness_sweep::periodic_bspline_for_all_supported_degrees	0	0	1	0		
161	PASS	ok	misc::feature_correctness_sweep::periodic_bspline_partition_of_unity_across_periods_and_k	0	0	1	0		
162	PASS	ok	misc::feature_correctness_sweep::periodic_bspline_rejects_invalid_range	0	0	1	0		
163	PASS	ok	misc::feature_correctness_sweep::periodic_bspline_rejects_nonfinite_data	0	0	1	0		
164	PASS	ok	misc::feature_correctness_sweep::periodic_bspline_rejects_too_few_basis	0	0	1	0		
165	PASS	ok	misc::feature_correctness_sweep::sphere_harmonic_at_north_pole_reduces_to_legendre	0	0	1	0		
166	PASS	ok	misc::feature_correctness_sweep::sphere_harmonic_basis_dim_is_l_times_l_plus_2	0	0	1	0		
167	PASS	ok	misc::feature_correctness_sweep::sphere_harmonic_design_finite_for_all_l_at_random_points	0	0	1	0		
168	PASS	ok	misc::feature_correctness_sweep::sphere_harmonic_penalty_diagonal_eigenvalues_match_l_l_plus_1_squared	0	0	1	0		
169	PASS	ok	misc::feature_correctness_sweep::sphere_harmonic_radians_matches_degrees_across_l_and_points	0	0	1	0		
170	PASS	ok	misc::feature_correctness_sweep::sphere_harmonic_rejects_l_zero_and_too_large	0	0	1	0		
171	PASS	ok	misc::feature_correctness_sweep::sphere_harmonic_row_gram_invariant_under_longitude_shift	0	0	1	0		
172	PASS	ok	misc::feature_correctness_sweep::wahba_kernel_at_same_point_is_finite_from_order_two_and_refused_at_order_one	0	0	1	0		
173	PASS	ok	misc::feature_correctness_sweep::wahba_kernel_invariant_under_antipodal_lon_flip	0	0	1	0		
174	PASS	ok	misc::feature_correctness_sweep::wahba_kernel_kxx_is_psd_and_symmetric	0	0	1	0		
175	PASS	ok	misc::feature_correctness_sweep::wahba_kernel_radians_consistent_with_degrees_across_orders	0	0	1	0		
176	PASS	ok	misc::feature_correctness_sweep::wahba_kernel_rejects_invalid_penalty_order	0	0	1	0		
177	PASS	ok	misc::feature_correctness_sweep::wahba_kernel_rejects_lat_out_of_range	0	0	1	0		
178	PASS	ok	misc::feature_correctness_sweep::wahba_kernel_rejects_wrong_dim	0	0	1	0		
179	PASS	ok	misc::fit_quality_stress::bimodal_sharp_bumps_bc	0	0	1	0	rmse=0.0104 	
180	PASS	ok	misc::fit_quality_stress::boundary_discontinuity_step	0	0	1	0	rmse=0.1692 	
181	PASS	ok	misc::fit_quality_stress::cyclic_wrong_period	0	0	1	0	rmse=0.0088 	
182	PASS	ok	misc::fit_quality_stress::heteroscedastic_noise_mean_recovery	0	0	1	0	rmse=0.1462 	
183	PASS	ok	misc::fit_quality_stress::hifreq_bc_k10	0	0	1	0	rmse=0.1937 	
184	PASS	ok	misc::fit_quality_stress::hifreq_bc_k4	0	0	1	0	rmse=0.0985 	
185	PASS	ok	misc::fit_quality_stress::hifreq_bc_k6	0	1	1	0	rmse=0.1231 	
186	PASS	ok	misc::fit_quality_stress::hifreq_bc_k8	0	0	1	0	rmse=0.1509 	
187	PASS	ok	misc::fit_quality_stress::hifreq_cyclic_k10	0	0	1	0	rmse=0.1160 	
188	PASS	ok	misc::fit_quality_stress::hifreq_cyclic_k4	0	0	1	0	rmse=0.0276 	
189	PASS	ok	misc::fit_quality_stress::hifreq_cyclic_k6	0	0	1	0	rmse=0.0479 	
190	PASS	ok	misc::fit_quality_stress::hifreq_cyclic_k8	0	0	1	0	rmse=0.0808 	
191	PASS	ok	misc::fit_quality_stress::hifreq_sphere_l4	0	1	1	0	rmse=0.0242 	
192	PASS	ok	misc::fit_quality_stress::hifreq_sphere_l6	0	1	1	0	rmse=0.0364 	
193	PASS	ok	misc::fit_quality_stress::hifreq_sphere_l8	0	3	1	0	rmse=0.0423 	
194	METRIC_OFF	quality_metric	misc::fit_quality_stress::hifreq_tensor_k10	101	654	0	1	rmse=0.4868 ess.rs:172:5 	thread 'misc::fit_quality_stress::hifreq_tensor_k10' (51909) panicked at tests/quality/misc/fit_quality_stress.rs:172:5: :: probe hifreq_tensor_k10 collapsed
195	PASS	ok	misc::fit_quality_stress::hifreq_tensor_k4	0	5	1	0	rmse=0.0499 	
196	PASS	ok	misc::fit_quality_stress::hifreq_tensor_k6	0	16	1	0	rmse=0.0763 	
197	PASS	ok	misc::fit_quality_stress::hifreq_tensor_k8	0	52	1	0	rmse=0.1083 	
198	PASS	ok	misc::fit_quality_stress::near_flat_signal	0	0	1	0	rmse=0.0040 	
199	PASS	ok	misc::fit_quality_stress::outlier_contamination	0	0	1	0	rmse=0.1353 	
200	PASS	ok	misc::fit_quality_stress::sparse_dense_imbalance	0	0	1	0	rmse=0.0734 rmse_sparse=0.0734 rmse_dense=0.0487 rmse_worst=0.0734 	
201	PASS	ok	misc::fit_quality_stress::sphere_antipodal_only	0	0	1	0	rmse=0.0076 	
202	PASS	ok	misc::fit_quality_stress::tensor_multicollinear_inputs	0	1	1	0	rmse=0.0120 	
203	PASS	ok	misc::fit_quality_stress::zz_measure_hifreq_tensor_k10_seed_costs	0	698	1	0	rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 rho_dim=3 edf_total=1.3078 	
204	PASS	ok	misc::fit_quality_stress::zz_measure_hifreq_tensor_k8_lambda_readout	0	51	1	0	edf_total=193.849 	
205	PASS	ok	misc::logdet_probe::diag_1271_dump_reml_logdet_internals	0	0	1	0	rho=22.7045 rho=-10.1134 edf_total=1.999977 edf=18.2140 edf=18.2140 edf=14.1371 edf=19.9980 edf=19.9980 edf=19.9736 edf=8.8503 edf=6.1027 edf=2.0311 edf=2.0113 edf=2.0041 edf=2.0015 edf=2.0005 edf=2.0002 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=14.1371 edf=14.4097 edf=8.7602 edf=6.5012 edf=2.2169 edf=2.2258 edf=2.2440 edf=2.2820 edf=2.3634 edf=2.5386 edf=2.2387 edf=2.0837 edf=2.0300 edf=2.0109 edf=2.0040 edf=2.0014 edf=2.0005 edf=2.0002 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=18.2140 edf=18.6347 edf=18.6323 edf=18.6336 edf=18.6380 edf=17.4850 edf=13.1820 edf=8.2409 edf=5.3246 edf=2.0024 edf=2.0009 edf=2.0003 edf=2.0001 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=1.9999 edf=1.9999 edf=2.0000 edf=2.0000 edf=1.0000 edf=1.0000 edf=20.0000 edf=20.0000 edf=1.0000 edf=1.0000 edf=20.0000 edf=1.0000 edf=1.0000 edf=20.0000 edf=2.0000 edf=1.0000 edf=1.0000 edf=1.0000 edf=1.9999 edf=19.9997 edf=1.0000 edf=1.0000 edf=1.0000 edf=2.0000 edf=1.1787 edf=1.0000 edf=1.0000 edf=1.0000 edf=1.0000 edf=1.0000 edf=20.0000 edf=2.0000 edf=19.9999 edf=20.0000 edf=20.0000 edf=20.0000 edf=19.9999 edf=2.0000 edf=1.0000 edf=1.9994 edf=1.0000 edf=19.9999 edf=20.0000 edf=1.0000 edf=20.0000 edf=1.0000 edf=1.0000 edf=19.9998 edf=19.9999 edf=2.0175 edf=1.0000 edf=1.0000 edf=1.0000 edf=20.0000 edf=1.0000 edf=19.9999 edf=19.9999 edf=20.0000 edf=20.0000 edf=2.0000 edf=1.0000 edf=1.0000 edf=1.0000 edf=1.0000 edf=20.0000 edf=1.0000 edf=1.0000 edf=1.0000 	
206	PASS	ok	misc::logdet_probe_1266_ps::diag_1266_dump_ps_double_penalty_logdet	0	0	1	0	edf_total=2.0000 rho=24.4650 rho=-6.6992 edf=19.3782 edf=19.3782 edf=11.2289 edf=19.9836 edf=19.9836 edf=19.7428 edf=8.2799 edf=5.4345 edf=2.0040 edf=2.0017 edf=2.0006 edf=2.0002 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=11.2289 edf=11.3110 edf=9.0697 edf=6.8689 edf=3.6839 edf=2.1737 edf=2.0596 edf=2.0214 edf=2.0078 edf=2.0028 edf=2.0010 edf=2.0003 edf=2.0001 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=19.3782 edf=17.6238 edf=7.9075 edf=5.0038 edf=2.0151 edf=2.0056 edf=2.0021 edf=2.0007 edf=2.0002 edf=2.0001 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=1.9999 edf=1.9999 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=20.0000 edf=20.0000 edf=2.0000 edf=2.0000 edf=20.0000 edf=2.0000 edf=2.0000 edf=20.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=1.9999 edf=19.9999 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=1.9999 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=20.0000 edf=2.0000 edf=19.9999 edf=20.0000 edf=20.0000 edf=20.0000 edf=19.9999 edf=2.0000 edf=2.0000 edf=1.9993 edf=2.0000 edf=19.9998 edf=20.0000 edf=2.0000 edf=20.0000 edf=2.0000 edf=2.0000 edf=19.9998 edf=19.9999 edf=2.0495 edf=2.0000 edf=2.0000 edf=2.0000 edf=19.9999 edf=2.0000 edf=19.9999 edf=19.9998 edf=20.0000 edf=20.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 edf=2.0000 	
207	PASS	ok	misc::mega_batch_j::bc_anchored_with_few_data	0	0	1	0		
208	PASS	ok	misc::mega_batch_j::bc_clamped_with_few_data	0	0	1	0		
209	PASS	ok	misc::mega_batch_j::periodic_negative_truth	0	0	1	0		
210	PASS	ok	misc::mega_batch_j::periodic_recovers_cos2t	0	0	1	0		
211	PASS	ok	misc::mega_batch_j::periodic_with_high_k	0	0	1	0		
212	PASS	ok	misc::mega_batch_j::periodic_with_large_period	0	0	1	0		
213	PASS	ok	misc::mega_batch_j::smooth_cubic_recovery	0	0	1	0		
214	PASS	ok	misc::mega_batch_j::smooth_exponential	0	0	1	0		
215	PASS	ok	misc::mega_batch_j::smooth_fits_logistic_dose_response	0	0	1	0		
216	PASS	ok	misc::mega_batch_j::smooth_log_recovers_monotone	0	0	1	0		
217	PASS	ok	misc::mega_batch_j::smooth_negative_y_range	0	1	1	0		
218	PASS	ok	misc::mega_batch_j::smooth_quadratic_recovery	0	0	1	0		
219	PASS	ok	misc::mega_batch_j::smooth_sin_recovery	0	0	1	0		
220	PASS	ok	misc::mega_batch_j::smooth_step_then_constant_recovers_inflection	0	0	1	0		
221	PASS	ok	misc::mega_batch_j::smooth_with_intercept_match	0	0	1	0		
222	PASS	ok	misc::mega_batch_j::smooth_with_no_intercept_explicit	0	0	1	0		
223	PASS	ok	misc::mega_batch_j::smooth_with_offset_in_y	0	0	1	0		
224	PASS	ok	misc::mega_batch_j::smooth_with_outlier	0	0	1	0		
225	PASS	ok	misc::mega_batch_j::smooth_with_periodic_aliased_data	0	0	1	0		
226	PASS	ok	misc::mega_batch_j::sphere_dense_polar	0	0	1	0		
227	PASS	ok	misc::mega_batch_j::sphere_equatorial_data	0	1	1	0		
228	PASS	ok	misc::mega_batch_j::sphere_fits_lat_dependent_truth	0	0	1	0		
229	PASS	ok	misc::mega_batch_j::sphere_fits_uniform_constant_truth	0	0	1	0		
230	PASS	ok	misc::mega_batch_j::sphere_harmonic_with_m_equals_3	0	0	1	0		
231	PASS	ok	misc::mega_batch_j::sphere_with_explicit_m_equals_1_is_refused_with_both_remedies	0	0	1	0		
232	PASS	ok	misc::mega_batch_k::all_smooth_families_in_one_formula	0	0	1	0		
233	PASS	ok	misc::mega_batch_k::bc_anchored_handles_polynomial_truth	0	0	1	0		
234	PASS	ok	misc::mega_batch_k::bc_anchored_pred_at_data_min_endpoint	0	0	1	0		
235	PASS	ok	misc::mega_batch_k::bc_anchored_with_large_data_range_works	0	0	1	0		
236	PASS	ok	misc::mega_batch_k::bc_anchored_with_lots_of_data	0	0	1	0		
237	PASS	ok	misc::mega_batch_k::bc_clamped_handles_constant_truth	0	0	1	0		
238	PASS	ok	misc::mega_batch_k::bc_clamped_pred_at_data_min_endpoint	0	0	1	0		
239	PASS	ok	misc::mega_batch_k::bc_clamped_with_truth_zero_at_endpoints	0	0	1	0		
240	PASS	ok	misc::mega_batch_k::cylinder_recovers_h_only	0	1	1	0		
241	PASS	ok	misc::mega_batch_k::cylinder_recovers_theta_only	0	0	1	0		
242	PASS	ok	misc::mega_batch_k::cylinder_seam_continuity_finite	0	0	1	0		
243	PASS	ok	misc::mega_batch_k::matern_nu_half_1d	0	1	1	0		
244	PASS	ok	misc::mega_batch_k::matern_nu_seven_halves_1d	0	2	1	0		
245	PASS	ok	misc::mega_batch_k::matern_nu_three_halves_1d	0	1	1	0		
