idx	outcome	cause	test	rc	dur_s	sub_passed	sub_failed	metric	reason
23	PASS	ok	families::quality_vs_gamlss_crps_gaussian_location_scale::gam_gaussian_location_scale_crps_matches_gamlss_on_real_data	0	2	1	0	crps=2.46834 crps=2.45784 	
24	METRIC_OFF	quality_metric	families::quality_vs_gamlss_custom_family_location_scale_gaussian::gam_custom_family_location_scale_matches_gamlss	101	1	0	1	rmse_to_truth=0.1479 rmse_to_truth=0.1463 rmse_to_truth=0.0892 rmse_to_truth=0.0750 rel_l2_mu_vs_gamlss=0.0033 	thread 'families::quality_vs_gamlss_custom_family_location_scale_gaussian::gam_custom_family_location_scale_matches_gamlss' (43033) panicked at tests/quality/families/quality_vs_gamlss_custom_family_location_scale_gaussian.rs:399:5: :: gam's log σ recovery worse than gamlss: gam=0.0892 gamlss=0.0750
25	METRIC_OFF	quality_metric	families::quality_vs_gamlss_custom_family_location_scale_gaussian::gam_custom_family_location_scale_matches_gamlss_on_real_data	101	1	0	1	nll=3.4224 nll=3.1015 rmse=5.6629 rel_l2_mu_vs_gamlss=0.0407 	thread 'families::quality_vs_gamlss_custom_family_location_scale_gaussian::gam_custom_family_location_scale_matches_gamlss_on_real_data' (43093) panicked at tests/quality/families/quality_vs_gamlss_custom_family_location_scale_gaussian.rs:564:5: :: gam held-out Gaussian NLL too high: 3.4224 (>= 3.3 nats/obs)
26	METRIC_OFF	quality_metric	families::quality_vs_gamlss_gamma_dispersion_location_scale_1060::gam_gamma_dispersion_location_scale_recovers_shape_surface_vs_gamlss	101	2	0	1		thread 'families::quality_vs_gamlss_gamma_dispersion_location_scale_1060::gam_gamma_dispersion_location_scale_recovers_shape_surface_vs_gamlss' (43155) panicked at tests/quality/families/quality_vs_gamlss_gamma_dispersion_location_scale_1060.rs:270:5: :: gam log-mean recovery must match-or-beat gamlss: gam=0.05351 gamlss=0.04117
27	PASS	ok	families::quality_vs_gamlss_gaussian_location_scale::gam_gaussian_location_scale_matches_gamlss	0	19	1	0	se_level=0.1322 	
28	METRIC_OFF	quality_metric	families::quality_vs_gamlss_gaussian_location_scale::gam_gaussian_location_scale_matches_gamlss_on_real_data	101	25	0	1		thread 'families::quality_vs_gamlss_gaussian_location_scale::gam_gaussian_location_scale_matches_gamlss_on_real_data' (43272) panicked at tests/quality/families/quality_vs_gamlss_gaussian_location_scale.rs:630:5: :: gam global-LAML held-out NLL 3.4976 worse than matched mgcv global-LAML NLL 3.4601 by >1%
29	METRIC_OFF	quality_metric	families::quality_vs_gamlss_gaussian_location_scale_by_group::gam_location_scale_by_group_matches_gamlss	101	29	0	1		thread 'families::quality_vs_gamlss_gaussian_location_scale_by_group::gam_location_scale_by_group_matches_gamlss' (43331) panicked at tests/quality/families/quality_vs_gamlss_gaussian_location_scale_by_group.rs:391:5: :: group-A log-sigma worse than gamlss on truth: gam=0.2099 > 1.1*gamlss=0.1500
30	PASS	ok	families::quality_vs_gamlss_gaussian_location_scale_cyclic::gam_cyclic_location_scale_recovers_truth	0	7	1	0		
31	PASS	ok	families::quality_vs_gamlss_gaussian_location_scale_cyclic::gam_cyclic_location_scale_recovers_truth_above_the_fundamental	0	11	1	0		
32	PASS	ok	families::quality_vs_gamlss_gaussian_location_scale_cyclic::gam_cyclic_location_scale_recovers_truth_on_real_data	0	1	1	0	se_scale=8.5769 nll=2.1105 nll=2.1110 R2=0.9460 rel_l2=0.0051 rel_l2=0.0586 	
33	METRIC_OFF	quality_metric	families::quality_vs_gamlss_gaussian_multi_smooth::gam_gaussian_multi_smooth_matches_gamlss	101	2	0	1		thread 'families::quality_vs_gamlss_gaussian_multi_smooth::gam_gaussian_multi_smooth_matches_gamlss' (43558) panicked at tests/quality/families/quality_vs_gamlss_gaussian_multi_smooth.rs:339:5: :: gam mean surface less accurate than gamlss: gam RMSE_vs_truth(mu)=0.11459 > 1.10 * gamlss 0.10340
34	PASS	ok	families::quality_vs_hand_coded_beta_logit_negative_log_likelihood::beta_logit_custom_family_recovers_truth_and_generalises	0	0	1	0	rmse=0.0589 	
